date,total_cas_confirmes,total_deces_hopital,total_deces_ehpad,total_cas_confirmes_ehpad,total_cas_possibles_ehpad,patients_reanimation,patients_hospitalises,total_patients_gueris,nouveaux_patients_hospitalises,nouveaux_patients_reanimation
2021-08-09,NaN,85765,26539,,,1667,9022,395310,833,230
2021-08-10,NaN,85833,26541,,,1712,9153,396002,944,211
2021-08-11,NaN,85886,26546,,,1745,9233,396616,773,158
2021-08-12,NaN,85963,26546,,,1807,9465,397162,894,191
2021-08-13,NaN,86037,26562,,,1831,9546,397828,836,188
2021-08-14,NaN,86088,26564,,,1837,9648,398257,606,118
2021-08-15,NaN,86132,26564,,,1852,9798,398445,399,73
2021-08-16,NaN,86228,26575,,,1908,10151,398924,950,178
2021-08-17,NaN,86339,26575,,,1953,10219,399763,1075,245
2021-08-18,NaN,86451,26585,,,2054,10336,400539,1036,299
2021-08-19,NaN,86578,26587,,,2049,10392,401284,976,186
2021-08-20,NaN,86660,26590,,,2091,10515,401946,887,214
2021-08-21,NaN,86789,26590,,,2106,10463,402615,805,165
2021-08-22,NaN,86883,26611,,,2128,10651,402848,542,103
2021-08-23,NaN,86991,26612,,,2215,11007,403285,943,235
2021-08-24,NaN,87143,26616,,,2221,11066,404141,1145,214
2021-08-25,NaN,87236,26626,,,2239,11171,404823,883,182
2021-08-26,NaN,87343,26641,,,2261,11104,405490,741,191
2021-08-27,NaN,87438,26652,,,2270,11162,406229,908,194
2021-08-28,NaN,87512,26652,,,2259,11052,406709,465,119
2021-08-29,NaN,87565,26652,,,2276,11092,406911,311,71
2021-08-30,NaN,87663,26667,,,2290,11245,407355,725,159
2021-08-31,NaN,87797,26668,,,2292,11120,408275,941,218
2021-09-01,NaN,87880,26680,,,2294,11119,408908,742,187
2021-09-02,NaN,87983,26686,,,2275,10934,409615,648,143
2021-09-03,NaN,88076,26688,,,2259,10816,410229,624,159
2021-09-04,NaN,88159,26688,,,2223,10654,410710,424,124
2021-09-05,NaN,88208,26688,,,2217,10644,410888,227,60
2021-09-06,NaN,88310,26712,,,2249,10757,411314,661,187
2021-09-07,NaN,88418,26712,,,2259,10646,412039,761,200
2021-09-08,NaN,88518,26731,,,2224,10438,412721,595,174
2021-09-09,NaN,88621,26742,,,2195,10323,413273,554,139
2021-09-10,NaN,88701,26756,,,2151,10115,413880,505,135
2021-09-11,NaN,88747,26756,,,2131,10018,414243,322,91
2021-09-12,NaN,88776,26756,,,2129,10012,414405,187,34
2021-09-13,NaN,88862,26767,,,2103,9986,414778,446,116
2021-09-14,NaN,88956,26767,,,2000,9739,415490,577,137
2021-09-15,NaN,89033,26770,,,1959,9555,416030,452,119
2021-09-16,NaN,89098,26779,,,1952,9297,416554,382,103
2021-09-17,NaN,89164,26805,,,1891,9070,417059,371,81
2021-09-18,NaN,89206,26805,,,1837,8912,417399,243,68
2021-09-19,NaN,89234,26805,,,1832,8887,417505,113,33
2021-09-20,NaN,89255,26814,,,1805,8845,417826,373,114
2021-09-21,NaN,89407,26815,,,1744,8594,418397,503,136
2021-09-22,NaN,89465,26817,,,1656,8414,418859,361,68
2021-09-23,NaN,89527,26821,,,1609,8237,419256,301,71
2021-09-24,NaN,89576,26825,,,1586,8107,419628,296,72
2021-09-25,NaN,89605,26825,,,1571,7980,419912,196,54
2021-09-26,NaN,89619,26825,,,1577,7994,419971,89,35
2021-09-27,NaN,89693,26835,,,1571,7980,420247,343,94
2021-09-28,NaN,89751,26835,,,1524,7801,420645,304,79
2021-09-29,NaN,89793,26836,,,1466,7726,420934,254,52
2021-09-30,NaN,89849,26841,,,1414,7565,421264,238,58
2021-10-01,NaN,89895,26844,,,1355,7410,421579,214,48
2021-10-02,NaN,89925,26844,,,1325,7294,421787,141,33
2021-10-03,NaN,89934,26844,,,1326,7308,421839,76,19
2021-10-04,NaN,89984,26849,,,1328,7299,422072,283,71
2021-10-05,NaN,90045,26849,,,1279,7096,422510,290,75
2021-10-06,NaN,90079,26854,,,1242,7038,422728,202,40
2021-10-07,NaN,90113,26856,,,1200,6903,423001,194,47
2021-10-08,NaN,90151,26859,,,1164,6805,423274,218,52
2021-10-09,NaN,90166,26859,,,1127,6706,423485,128,26
2021-10-10,NaN,90174,26859,,,1132,6737,423537,91,17
2021-10-11,NaN,90204,26864,,,1145,6729,423734,226,58
2021-10-12,NaN,90257,26864,,,1111,6629,424018,254,68
2021-10-13,NaN,90280,26865,,,1091,6601,424238,219,58
2021-10-14,NaN,90318,26867,,,1075,6523,424464,206,44
2021-10-15,NaN,90352,26869,,,1051,6470,424693,215,43
2021-10-16,NaN,90367,26869,,,1049,6437,424817,109,25
2021-10-17,NaN,90372,26869,,,1052,6448,424868,71,18
2021-10-18,NaN,90413,26874,,,1049,6468,425074,277,67
2021-10-19,NaN,90452,26874,,,1046,6483,425292,286,63
2021-10-20,NaN,90473,26879,,,1026,6465,425537,263,44
2021-10-21,NaN,90508,26881,,,1009,6453,425777,273,59
2021-10-22,NaN,90537,26881,,,1010,6400,426012,203,58
2021-10-23,NaN,90560,26881,,,1007,6348,426213,184,42
2021-10-24,NaN,90564,26881,,,1018,6377,426243,63,21
2021-10-25,NaN,90605,26883,,,1023,6405,426431,269,74
2021-10-26,NaN,90643,26883,,,1049,6445,426654,316,112
2021-10-27,NaN,90677,26882,,,1038,6489,426836,283,61
2021-10-28,NaN,90710,26883,,,1037,6541,427031,271,58
2021-10-29,NaN,90737,26884,,,1034,6534,427286,283,67
2021-10-30,NaN,90759,26884,,,1039,6524,427445,176,44
2021-10-31,NaN,90771,26884,,,1046,6572,427489,105,20
2021-11-01,NaN,90777,26884,,,1069,6639,427519,103,28
2021-11-02,NaN,90851,26897,,,1091,6680,427801,416,126
2021-11-03,NaN,90890,26893,,,1096,6764,428108,447,95
2021-11-04,NaN,90937,26895,,,1099,6718,428434,334,81
2021-11-05,NaN,90963,26895,,,1089,6735,428716,334,82
2021-11-06,NaN,90988,26895,,,1099,6667,428950,190,55
2021-11-07,NaN,90998,26895,,,1101,6709,428990,100,20
2021-11-08,NaN,91053,26897,,,1141,6865,429250,483,121
2021-11-09,NaN,91097,26897,,,1140,6851,429618,409,99
2021-11-10,NaN,91130,26897,,,1154,6906,429919,397,93
2021-11-11,NaN,91147,26897,,,1145,6952,430063,212,35
2021-11-12,NaN,91195,26897,,,1182,7046,430277,362,98
2021-11-13,NaN,91211,26897,,,1202,7050,430476,234,64
2021-11-14,NaN,91228,26897,,,1210,7111,430524,125,26
2021-11-15,NaN,91298,26902,,,1257,7361,430811,631,144
2021-11-16,NaN,91345,26902,,,1277,7535,431216,647,135
2021-11-17,NaN,91395,26908,,,1300,7663,431559,525,107
2021-11-18,NaN,91447,26908,,,1333,7787,431887,522,119
2021-11-19,NaN,91497,26908,,,1353,7940,432215,563,129
2021-11-20,NaN,91520,26908,,,1333,7974,432421,269,40
2021-11-21,NaN,91535,26908,,,1339,8038,432497,158,27
2021-11-22,NaN,91629,26911,,,1406,8338,432957,865,188
2021-11-23,NaN,91713,26911,,,1455,8525,433411,759,192
2021-11-24,NaN,91793,26912,,,1483,8765,433833,770,137
2021-11-25,NaN,91865,26912,,,1499,8981,434310,778,139
2021-11-26,NaN,91925,26912,,,1563,9181,434775,744,176
2021-11-27,NaN,91959,26912,,,1617,9271,435027,388,102
2021-11-28,NaN,91982,26912,,,1632,9381,435119,224,42
2021-11-29,NaN,92085,26931,,,1749,9860,435531,1043,253
2021-11-30,NaN,92199,26932,,,1824,10249,436187,1187,271
2021-12-01,NaN,92292,26935,,,1886,10558,436766,992,215
2021-12-02,NaN,92395,26935,,,1934,10790,437363,950,193
2021-12-03,NaN,92508,26949,,,2058,11103,438044,1153,281
2021-12-04,NaN,92557,26949,,,2037,11340,438440,694,119
2021-12-05,NaN,92586,26949,,,2066,11526,438589,369,70
2021-12-06,NaN,92778,26949,,,2191,12096,439237,1424,307
2021-12-07,NaN,92942,26957,,,2351,12714,440066,1665,408
2021-12-08,NaN,93071,26961,,,2426,13044,440865,1288,276
2021-12-09,NaN,93198,26970,,,2461,13363,441638,1250,243
2021-12-10,NaN,93339,26979,,,2498,13629,442473,1293,250
2021-12-11,NaN,93404,26979,,,2539,13855,442940,787,176
2021-12-12,NaN,93452,26979,,,2602,14050,443159,472,111
2021-12-13,NaN,93683,26991,,,2752,14527,443933,1505,379
2021-12-14,NaN,93841,26991,,,2792,14819,445100,1662,362
2021-12-15,NaN,93992,26991,,,2843,15062,446101,1453,274
2021-12-16,NaN,94157,27014,,,2832,15142,447156,1342,248
2021-12-17,NaN,94319,27014,,,2901,15410,448151,1449,301
2021-12-18,NaN,94404,27014,,,2933,15370,448891,816,190
2021-12-19,NaN,94479,27014,,,2936,15528,449128,485,91
2021-12-20,NaN,94703,27014,,,3025,15918,449970,1466,340
2021-12-21,NaN,94913,27033,,,3096,16076,451213,1661,357
2021-12-22,NaN,95083,27033,,,3147,16118,452365,1404,322
2021-12-23,NaN,95262,27033,,,3208,16060,453573,1347,323
2021-12-24,NaN,95429,27033,,,3254,16173,454659,1398,316
2021-12-25,NaN,95513,27033,,,3282,16162,455323,760,160
2021-12-26,NaN,95609,27033,,,3299,16365,455508,506,93
2021-12-27,NaN,95865,27033,,,3333,16921,456295,1634,328
2021-12-28,NaN,96107,27081,,,3416,17405,457594,2110,417
2021-12-29,NaN,96291,27081,,,3469,17856,458891,1949,363
2021-12-30,NaN,96471,27081,,,3506,18321,460123,1922,299
2021-12-31,NaN,96660,27081,,,3543,18715,461407,1928,320
2022-01-01,NaN,96770,27081,,,3560,18811,462266,1102,197
2022-01-02,NaN,96861,27081,,,3572,19043,462576,652,101
2022-01-03,NaN,97131,27081,,,3654,19606,463863,2160,352
2022-01-04,NaN,97424,27139,,,3665,20186,465820,2881,460
2022-01-05,NaN,97670,27139,,,3695,20688,467508,2483,396
2022-01-06,NaN,97874,27139,,,3759,21169,469181,2401,410
2022-01-07,NaN,98067,27139,,,3815,21605,470797,2308,358
2022-01-08,NaN,98209,27139,,,3821,21721,472027,1485,243
2022-01-09,NaN,98299,27139,,,3847,21982,472488,842,151
2022-01-10,NaN,98579,27139,,,3904,22749,473916,2543,380
2022-01-11,NaN,98847,27212,,,3969,23371,476124,3149,492
2022-01-12,NaN,99093,27212,,,3985,23889,478097,2806,381
2022-01-13,NaN,99318,27212,,,3939,24154,480068,2513,334
2022-01-14,NaN,99509,27212,,,3895,24511,481964,2486,310
2022-01-15,NaN,99657,27212,,,3852,24544,483438,1690,218
2022-01-16,NaN,99755,27212,,,3852,24887,484007,1029,119
2022-01-17,NaN,100051,27212,,,3913,25776,485556,2815,355
2022-01-18,NaN,100339,27299,,,3881,26526,487977,3509,367
2022-01-19,NaN,100570,27299,,,3852,27230,490192,3187,330
2022-01-20,NaN,100815,27299,,,3842,27931,492256,3053,301
2022-01-21,NaN,101048,27299,,,3792,28457,494500,3077,329
2022-01-22,NaN,101215,27299,,,3746,28515,496206,1994,214
2022-01-23,NaN,101330,27299,,,3760,28838,496840,1094,143
2022-01-24,NaN,101723,27299,,,3776,29748,498806,3353,337
2022-01-25,NaN,102086,27403,,,3741,30189,501762,3842,380
2022-01-26,NaN,102344,27403,,,3712,30624,504330,3297,341
2022-01-27,NaN,102612,27403,,,3694,30982,506728,3095,316
2022-01-28,NaN,102875,27403,,,3656,31271,509211,3098,321
2022-01-29,NaN,103053,27403,,,3634,31282,510921,1911,189
2022-01-30,NaN,103180,27403,,,3641,31536,511612,1090,115
2022-01-31,NaN,103528,27403,,,3700,32374,513540,3147,334
2022-02-01,NaN,103909,27403,,,3751,32894,516458,3917,454
2022-02-02,NaN,104185,27403,,,3700,32720,519409,3230,366
2022-02-03,NaN,104449,27403,,,3643,32852,521380,3091,310
2022-02-04,NaN,104804,27403,,,3618,32988,524878,4033,402
2022-02-05,NaN,104974,27403,,,3606,32867,526609,1816,225
2022-02-06,NaN,105103,27403,,,3577,33027,527202,902,106
2022-02-07,NaN,105520,27403,,,3622,33447,529180,2830,328
2022-02-08,NaN,105882,27732,,,3555,33352,531940,3060,320
2022-02-09,NaN,106137,27760,,,3503,32878,534705,2614,296
2022-02-10,NaN,106447,27820,,,3416,32415,537208,2420,288
2022-02-11,NaN,106716,27820,,,3371,31939,539749,2377,245
2022-02-12,NaN,106877,27820,,,3324,31522,541311,1329,156
2022-02-13,NaN,106984,27820,,,3305,31621,541777,697,90
2022-02-14,NaN,107369,27820,,,3296,31532,543647,2215,311
2022-02-15,NaN,107670,27909,,,3235,31091,546183,2454,291
2022-02-16,NaN,107913,27942,,,3126,30578,548385,1975,207
2022-02-17,NaN,108171,27971,,,3055,29843,550715,1882,228
2022-02-18,NaN,108444,28002,,,2970,29194,552837,1795,196
2022-02-19,NaN,108592,28002,,,2918,28632,554200,978,127
2022-02-20,NaN,108671,28037,,,2923,28643,554598,495,67
2022-02-21,NaN,108954,28037,,,2905,28383,556126,1570,210
2022-02-22,NaN,109240,28037,,,2842,27566,558452,1834,206
2022-02-23,NaN,109452,28037,,,2753,26881,560486,1592,177
2022-02-24,NaN,109649,28121,,,2656,26118,562358,1352,150
2022-02-25,NaN,109837,28121,,,2546,25484,564082,1285,111
2022-02-26,NaN,109928,28131,,,2484,25264,564911,712,62
2022-02-27,NaN,109980,28155,,,2491,25277,565221,384,59
2022-02-28,NaN,110212,28155,,,2456,25079,566378,1210,163
2022-03-01,NaN,110412,28164,,,2408,24437,568119,1330,218
2022-03-02,NaN,110577,28185,,,2329,23840,569768,1249,153
2022-03-03,NaN,110744,28198,,,2231,23175,571248,1037,100
2022-03-04,NaN,110898,28225,,,2153,22643,572604,1012,104
2022-03-05,NaN,111006,28237,,,2075,22196,573476,542,55
2022-03-06,NaN,111038,28237,,,2079,22253,573639,256,28
2022-03-07,NaN,111211,28240,,,2089,22208,574749,1274,153
2022-03-08,NaN,111376,28242,,,2036,21899,576142,1312,125
2022-03-09,NaN,111511,28262,,,1962,21509,577508,1147,120
2022-03-10,NaN,111611,28269,,,1928,21287,578723,1122,121
2022-03-11,NaN,111744,28285,,,1875,21024,579930,1099,119
2022-03-12,NaN,111795,28285,,,1857,20860,580578,577,57
2022-03-13,NaN,111824,28285,,,1855,20917,580769,285,27
2022-03-14,NaN,111984,28310,,,1826,20925,581897,1318,118
2022-03-15,NaN,112128,28312,,,1783,20919,583270,1553,141
2022-03-16,NaN,112273,28340,,,1728,20757,584548,1313,97
2022-03-17,NaN,112379,28350,,,1695,20609,585730,1164,100
2022-03-18,NaN,112480,28361,,,1674,20519,586852,1182,118
2022-03-19,NaN,112534,28369,,,1644,20440,587475,620,51
2022-03-20,NaN,112561,28372,,,1642,20566,587639,323,30
2022-03-21,NaN,112713,28372,,,1632,20706,588719,1401,124
2022-03-22,NaN,112843,28375,,,1604,20742,590037,1562,147
2022-03-23,NaN,112934,28385,,,1564,20653,591389,1373,109
2022-03-24,NaN,113046,28397,,,1523,20654,592602,1338,101
2022-03-25,NaN,113158,28406,,,1489,20616,593988,1488,117
2022-03-26,NaN,113217,28414,,,1481,20532,594630,619,54
2022-03-27,NaN,113242,28430,,,1486,20606,594814,292,32
2022-03-28,NaN,113391,28430,,,1533,21073,595854,1694,174
2022-03-29,NaN,113527,28458,,,1538,21300,597352,1892,154
2022-03-30,NaN,113659,28475,,,1546,21688,598673,1892,152
2022-03-31,NaN,113779,28494,,,1551,21922,600034,1763,160
2022-04-01,NaN,113904,28503,,,1537,22066,601418,1682,148
2022-04-02,NaN,113961,28514,,,1523,22113,602269,969,77
2022-04-03,NaN,113985,28521,,,1539,22251,602444,347,37
2022-04-04,NaN,114131,28524,,,1541,22835,603702,2021,177
2022-04-05,NaN,114258,28526,,,1552,23010,605372,2052,199
2022-04-06,NaN,114374,28538,,,1561,23014,607194,1948,164
2022-04-07,NaN,114469,28548,,,1572,23272,608546,1760,135
2022-04-08,NaN,114593,28563,,,1554,23404,610159,1903,160
2022-04-09,NaN,114667,28576,,,1543,23474,611100,1103,69
2022-04-10,NaN,114695,28593,,,1562,23626,611319,401,47
2022-04-11,NaN,114871,28595,,,1589,24205,612633,2099,171
2022-04-12,NaN,115027,28598,,,1644,24693,614551,2619,269
2022-04-13,NaN,115161,28616,,,1650,24778,616385,2069,179
2022-04-14,NaN,115284,28626,,,1648,24828,618020,1836,189
2022-04-15,NaN,115427,28634,,,1652,24909,619696,1953,209
2022-04-16,NaN,115472,28650,,,1630,24894,620535,885,63
2022-04-17,NaN,115501,28656,,,1636,24922,620786,315,38
2022-04-18,NaN,115545,28660,,,1635,24990,621002,341,34
2022-04-19,NaN,115726,28661,,,1681,25277,622698,2195,203
2022-04-20,NaN,115947,28667,,,1677,25179,625022,2537,261
2022-04-21,NaN,116114,28685,,,1684,25018,626816,1842,181
2022-04-22,NaN,116253,28692,,,1645,24883,628608,1829,153
2022-04-23,NaN,116312,28708,,,1636,24840,629485,916,69
2022-04-24,NaN,116345,28715,,,1640,24888,629768,372,35
2022-04-25,NaN,116541,28716,,,1659,24980,631303,1835,198
2022-04-26,NaN,116708,28719,,,1667,24703,633262,1932,202
2022-04-27,NaN,116854,28725,,,1658,24431,634936,1580,168
2022-04-28,NaN,116970,28741,,,1629,24130,636491,1403,155
2022-04-29,NaN,117119,28750,,,1591,23579,638182,1326,141
2022-04-30,NaN,117171,28759,,,1562,23302,638905,558,45
2022-05-01,NaN,117193,28769,,,1557,23327,639061,208,19
2022-05-02,NaN,117371,28771,,,1511,23211,640425,1442,139
2022-05-03,NaN,117491,28771,,,1498,22849,642084,1463,142
2022-05-04,NaN,117593,28783,,,1465,22319,643460,991,98
2022-05-05,NaN,117708,28790,,,1447,21880,644866,1116,117
2022-05-06,NaN,117810,28798,,,1408,21277,645611,939,102
2022-05-07,NaN,117869,28801,,,1397,20963,647071,1225,116
2022-05-08,NaN,117912,28812,,,1403,20939,647235,193,24
2022-05-09,NaN,118044,28812,,,1380,20835,648234,1029,115
2022-05-10,NaN,118166,28813,,,1364,20499,649583,1167,141
2022-05-11,NaN,118253,28822,,,1329,20152,650824,993,94
2022-05-12,NaN,118337,28822,,,1292,19762,651942,830,91
2022-05-13,NaN,118431,28826,,,1233,19272,653050,756,77
2022-05-14,NaN,118494,28837,,,1213,18901,653734,387,42
2022-05-15,NaN,118508,28844,,,1214,18935,653827,145,13
2022-05-16,NaN,118633,28845,,,1199,18742,654775,900,94
2022-05-17,NaN,118723,28845,,,1173,18290,655984,883,106